codigo,placa,linha,latitude,longitude,dataHora,velocidade,id_migracao_trajeto,sentido,trajeto,hodometro,direcao
902080,,46,-22.852461,-43.317199,2023-07-26 04:53:45,35.8,,ida,46 - PENHA X ALVORADA (EXPRESSO) [IDA],34346.0,264.0
902065,,43,-22.839459,-43.239775,2023-07-26 04:53:43,0.0,,ida,43 - FUNDÃO X SANTA EFIGENIA (EXPRESSO) [IDA],35358.4,
901069,,52,-22.960876,-43.391913,2023-07-26 04:53:57,59.4,,ida,52 - SENTIDO ALVORADA (PARADOR) [IDA],37733.7,193.0
901074,,52,-22.86092,-43.398186,2023-07-26 04:51:33,0.0,,ida,52 - SENTIDO ALVORADA (PARADOR) [IDA],39513.6,242.0
901085,,53,-22.972996,-43.397315,2023-07-26 04:53:42,39.1,,ida,53 - SENTIDO ALVORADA (EXPRESSO) [IDA],43533.2,271.0
902073,,35,-22.876405,-43.330111,2023-07-26 03:59:03,0.0,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],9883.0,
902030,,31,-22.852586,-43.312888,2023-07-26 04:53:57,0.0,,ida,31 - VICENTE DE CARVALHO X ALVORADA (SEMIDIRETO) [IDA],11293.5,
902071,,46,-23.000985,-43.367728,2023-07-26 04:53:41,0.0,,volta,46 - ALVORADA X PENHA (EXPRESSO) [VOLTA],35937.7,
902072,,43,-22.85468,-43.251934,2023-07-26 04:47:12,0.0,,volta,43 - SANTA EFIGENIA X FUNDÃO (EXPRESSO) [VOLTA],32687.8,
902068,,43,-22.854457,-43.251718,2023-07-26 03:56:28,0.0,,ida,43 - FUNDÃO X SANTA EFIGENIA (EXPRESSO) [IDA],35600.1,
902064,,43,-22.851258,-43.263352,2023-07-26 04:53:44,35.6,,ida,43 - FUNDÃO X SANTA EFIGENIA (EXPRESSO) [IDA],0.0,325.0
902070,,46,-22.916434,-43.362009,2023-07-26 04:53:54,36.2,,ida,46 - PENHA X ALVORADA (EXPRESSO) [IDA],36284.7,229.0
901083,,53,-22.924464,-43.397803,2023-07-26 04:53:45,41.2,,ida,53 - SENTIDO ALVORADA (EXPRESSO) [IDA],49420.2,344.0
901087,,53,-22.964694,-43.391992,2023-07-26 04:53:13,0.0,,ida,53 - SENTIDO ALVORADA (EXPRESSO) [IDA],47525.2,
902085,,46,-22.854741,-43.251942,2023-07-26 04:53:40,0.0,,ida,46 - PENHA X ALVORADA (EXPRESSO) [IDA],34050.9,
E902001,,41,-22.854611,-43.251271,2023-07-26 04:53:46,0.0,,volta,41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA],20869.6,
E902006,,40,-22.926485,-43.373641,2023-07-26 04:53:55,41.9,,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],19298.2,355.0
E902011,,40,-22.945,-43.372117,2023-07-26 04:53:56,30.4,,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],8593.6,352.0
902002,,41,-22.854693,-43.254785,2023-07-26 04:53:49,24.6,,volta,41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA],19823.2,219.0
901095,,51,-22.96566,-43.391302,2023-07-26 03:47:05,0.0,,volta,51 - SENTIDO V. MILITAR (PARADOR) [VOLTA],35035.8,154.0
902069,,41,-22.877495,-43.336985,2023-07-26 04:53:45,0.0,,ida,41 - PAULO DA PORTELA X TERMINAL RECREIO (EXPRESSO) [IDA],32579.4,
902094,,35,-22.955204,-43.377172,2023-07-26 04:53:55,3.1,,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],9083.6,55.0
903068,,17,-22.91507,-43.60558,2023-07-26 04:53:49,6.8,,ida,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [IDA],20728.9,83.0
902081,,31,-22.876363,-43.329983,2023-07-26 03:55:56,0.0,,ida,31 - VICENTE DE CARVALHO X ALVORADA (SEMIDIRETO) [IDA],11487.0,
902082,,35,-22.888594,-43.346069,2023-07-26 04:53:42,0.5,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],10862.9,162.0
903062,,17,-22.917765,-43.684281,2023-07-26 04:53:57,39.9,,ida,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [IDA],20182.3,166.0
902089,,35,-22.961114,-43.390197,2023-07-26 04:53:56,48.1,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],9766.7,205.0
903041,,50,-22.876512,-43.329466,2023-07-26 04:53:50,0.0,,ida,50 - SENTIDO JD. OCEANICO (PARADOR) [IDA],27433.7,
903051,,50,-22.981238,-43.365588,2023-07-26 04:53:41,57.1,,volta,50 - SENTIDO T. OLIMPICO (PARADOR) [VOLTA],31054.2,353.0
903036,,17,-22.918991,-43.607926,2023-07-26 04:23:39,0.0,,ida,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [IDA],156819.9,169.0
902036,,41,-22.878398,-43.336271,2023-07-26 04:53:54,0.0,,ida,41 - PAULO DA PORTELA X TERMINAL RECREIO (EXPRESSO) [IDA],32318.1,
903039,,17,-22.929433,-43.675273,2023-07-26 04:53:07,58.8,,ida,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [IDA],18362.4,131.0
902074,,31,-22.876458,-43.3296,2023-07-26 04:53:50,0.0,,ida,31 - VICENTE DE CARVALHO X ALVORADA (SEMIDIRETO) [IDA],9765.9,
902044,,43,-22.85432,-43.252023,2023-07-26 04:53:49,0.0,,ida,43 - FUNDÃO X SANTA EFIGENIA (EXPRESSO) [IDA],31223.4,
903064,,50,-22.973227,-43.393743,2023-07-26 04:53:50,4.2,,volta,50 - SENTIDO T. OLIMPICO (PARADOR) [VOLTA],22135.7,271.0
903069,,17,-22.931036,-43.656138,2023-07-26 04:53:57,50.7,,volta,17 - CAMPO GRANDE  X SANTA CRUZ (PARADOR) [VOLTA],22408.1,224.0
902042,,46,-23.001273,-43.364787,2023-07-26 04:53:45,0.0,,volta,46 - ALVORADA X PENHA (EXPRESSO) [VOLTA],31913.4,
902040,,46,-22.973274,-43.376755,2023-07-26 04:53:11,58.6,,volta,46 - ALVORADA X PENHA (EXPRESSO) [VOLTA],34102.4,270.0
903049,,17,-22.916783,-43.632706,2023-07-26 04:53:51,1.4,,ida,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [IDA],23315.7,317.0
902096,,35,-23.001,-43.367111,2023-07-26 04:53:53,0.0,,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],14221.2,278.0
902100,,35,-22.879152,-43.336722,2023-07-26 04:53:49,0.0,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],13435.2,
903059,,17,-22.91901,-43.607771,2023-07-26 04:53:47,0.0,,ida,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [IDA],18740.5,40.0
903043,,38,-22.876615,-43.32957,2023-07-26 03:17:24,0.0,,ida,38 - FUNDÃO X ALVORADA (PARADOR) [IDA],30028.4,88.0
902079,,46,-22.854527,-43.251585,2023-07-26 04:53:41,0.0,,ida,46 - PENHA X ALVORADA (EXPRESSO) [IDA],30818.4,
903066,,17,-22.918732,-43.68258,2023-07-26 04:53:43,0.0,,ida,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [IDA],24875.0,325.0
902099,,35,-22.878536,-43.336372,2023-07-26 04:53:40,0.0,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],11541.0,
902091,,35,-22.916401,-43.36204,2023-07-26 04:53:42,9.2,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],14044.1,227.0
901099,,51,-22.862196,-43.400543,2023-07-26 04:53:45,0.0,,ida,51 - SENTIDO RECREIO (PARADOR) [IDA],29477.6,176.0
902104,,31,-22.876369,-43.330461,2023-07-26 03:53:17,0.0,,ida,31 - VICENTE DE CARVALHO X ALVORADA (SEMIDIRETO) [IDA],8023.9,
903061,,17,-22.918863,-43.607534,2023-07-26 04:53:54,0.0,,ida,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [IDA],21481.5,88.0
44706,LRG8855,20,-22.926821,-43.678413,2023-07-26 04:53:56,37.0,,ida,,21873.0,313.0
901008,,22,-23.001042,-43.364832,2023-07-26 05:00:31,16.3,,volta,,22783.0,266.0
901007,,22,-23.001133,-43.366025,2023-07-26 05:00:29,11.6,,volta,,21817.9,264.0
901010,RJM8G30,22,-23.000945,-43.364847,2023-07-26 05:00:26,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],22869.5,271.0
901017,,22,-23.000755,-43.366013,2023-07-26 05:00:26,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],25122.4,
901006,RJA9F56,22,-23.00072,-43.368075,2023-07-26 05:00:30,21.4,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],19377.7,76.0
901005,RJB8E53,22,-23.000286,-43.343155,2023-07-26 05:00:26,51.9,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],21639.8,90.0
901004,RJQ8J80,22,-23.006292,-43.316625,2023-07-26 05:00:22,49.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],21431.9,106.0
30504,,25,-23.000726,-43.367108,2023-07-26 05:00:35,16.9,,volta,25 - ALVORADA X MATO ALTO (PARADOR) [VOLTA],53625.9,106.0
30538,KXE7719,20,-23.009246,-43.539931,2023-07-26 05:00:30,57.4,,volta,20 - SALVADOR ALLENDE X SANTA CRUZ (EXPRESSO) [VOLTA],55886.6,305.0
50309,KPN6B05,13,-23.012994,-43.46076,2023-07-26 05:00:28,51.0,,ida,13 - MATO ALTO X ALVORADA (EXPRESSO) [IDA],20081.7,74.0
13423,LSI5976,25,-23.007445,-43.440144,2023-07-26 05:00:30,63.3,,volta,25 - ALVORADA X MATO ALTO (PARADOR) [VOLTA],41109.2,255.0
90002,LMB2D92,11,-22.953134,-43.649409,2023-07-26 04:47:16,48.5,,ida,11 - SANTA CRUZ X ALVORADA (PARADOR) [IDA],55843.6,175.0
47030,LSQ5263,20,-22.985116,-43.607533,2023-07-26 05:00:29,59.3,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],53776.3,134.0
30519,LRE9804,11,-22.920074,-43.608092,2023-07-26 05:00:20,0.0,,ida,11 - SANTA CRUZ X ALVORADA (PARADOR) [IDA],51494.8,
90005,KWK6A89,10,-22.918027,-43.683147,2023-07-26 05:00:34,23.0,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],49834.4,336.0
86875,KQB4103,12,-22.918321,-43.607018,2023-07-26 05:00:28,13.3,,ida,12 - PINGO D'AGUA X ALVORADA (EXPRESSO) [IDA],13012.4,359.0
30518,KYL8597,25,-23.000639,-43.365028,2023-07-26 05:00:25,0.0,,volta,25 - ALVORADA X MATO ALTO (PARADOR) [VOLTA],37110.7,277.0
902090,,35,-22.882387,-43.34199,2023-07-26 05:00:29,0.0,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],15075.8,182.0
47029,LSQ5267,11,-22.918538,-43.68272,2023-07-26 05:00:23,0.0,,ida,11 - SANTA CRUZ X ALVORADA (PARADOR) [IDA],56964.8,324.0
47012,KPZ8364,10,-22.916729,-43.683563,2023-07-26 05:00:22,0.0,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],54990.7,336.0
86885,LTB5540,14,-22.918764,-43.607013,2023-07-26 05:00:29,11.0,,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],514714.4,12.0
12738,KRR2404,25,-22.993108,-43.597317,2023-07-26 05:00:23,0.0,,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],37392.2,
86886,LTB5541,14,-22.916233,-43.630674,2023-07-26 05:00:28,0.0,,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],13086.7,
13428,KXE7712,11,-22.920152,-43.607814,2023-07-26 05:00:34,0.0,,ida,11 - SANTA CRUZ X ALVORADA (PARADOR) [IDA],57799.1,
47006,KWZ8630,20,-23.0191,-43.505074,2023-07-26 05:00:24,0.0,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],50888.5,
47007,LSP6018,18,-22.920596,-43.607735,2023-07-26 05:00:21,0.0,,ida,18 - RECREIO SHOPPING X JARDIM OCEÂNICO (EXPRESSO) [IDA],42179.7,158.0
13413,KWI9711,12,-22.992915,-43.598132,2023-07-26 05:00:29,0.0,,ida,12 - PINGO D'AGUA X ALVORADA (EXPRESSO) [IDA],43512.1,136.0
901057,,52,-22.973252,-43.383385,2023-07-26 05:00:14,9.4,,volta,52 - SENTIDO V. MILITAR (PARADOR) [VOLTA],51060.9,260.0
901003,RKM8C54,22,-23.006488,-43.312991,2023-07-26 05:00:28,1.2,,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],22826.2,259.0
86874,KQB4102,20,-22.918881,-43.607601,2023-07-26 05:00:34,0.0,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],512858.4,98.0
86879,LTN5696,18,-22.99255,-43.598511,2023-07-26 05:00:28,0.0,,ida,18 - RECREIO SHOPPING X JARDIM OCEÂNICO (EXPRESSO) [IDA],1812.9,
47011,LRH8889,0,-22.920685,-43.60786,2023-07-26 05:00:19,0.0,,,,39516.0,168.0
30537,KXE7720,12,-22.916492,-43.607041,2023-07-26 05:00:17,11.3,,ida,12 - PINGO D'AGUA X ALVORADA (EXPRESSO) [IDA],51505.1,355.0
50301,KPP5B70,25,-23.001263,-43.419353,2023-07-26 05:00:24,36.1,,volta,25 - ALVORADA X MATO ALTO (PARADOR) [VOLTA],3947.5,251.0
13401,KQO7822,19,-23.019919,-43.48808,2023-07-26 05:00:19,32.9,,ida,19 - PINGO D'AGUA X SALVADOR ALLENDE (EXPRESSO) [IDA],53642.8,61.0
13421,KWO8119,10,-22.920305,-43.608277,2023-07-26 05:00:17,0.0,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],14957.8,
27174,KQP5437,20,-22.992778,-43.598224,2023-07-26 05:00:20,0.0,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],18873.3,
47026,KYA7928,10,-22.920584,-43.608013,2023-07-26 05:00:31,0.0,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],32900.199,
86889,KRQ6878,10,-23.000893,-43.367123,2023-07-26 05:00:17,0.0,,volta,10 - ALVORADA X SANTA CRUZ (EXPRESSO) [VOLTA],514962.4,
12724,LMJ1118,18,-23.019186,-43.505671,2023-07-26 05:00:17,0.0,,ida,18 - RECREIO SHOPPING X JARDIM OCEÂNICO (EXPRESSO) [IDA],9642.9,
27209,LSL9B07,25,-22.993054,-43.597962,2023-07-26 05:00:31,0.0,,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],10074.7,
30511,KPV2250,13,-23.000921,-43.366989,2023-07-26 05:00:32,21.6,,volta,13 - ALVORADA X  MATO ALTO (EXPRESSO) [VOLTA],49436.1,262.0
12725,LMJ1327,25,-23.016326,-43.515456,2023-07-26 05:00:28,59.7,,volta,25 - ALVORADA X MATO ALTO (PARADOR) [VOLTA],39252.0,287.0
47022,KRM7701,10,-23.012536,-43.459566,2023-07-26 05:00:29,0.9,,volta,10 - ALVORADA X SANTA CRUZ (EXPRESSO) [VOLTA],12942.9,239.0
13422,LSI5978,20,-22.952234,-43.649596,2023-07-26 05:00:31,32.0,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],40378.0,157.0
13402,LTL5480,12,-22.920265,-43.607739,2023-07-26 05:00:17,0.0,,ida,12 - PINGO D'AGUA X ALVORADA (EXPRESSO) [IDA],43258.9,
12730,LSO8993,19,-23.008389,-43.443332,2023-07-26 05:00:26,0.0,,volta,19 - SALVADOR ALLENDE X PINGO D'AGUA (EXPRESSO) [VOLTA],9249.4,250.0
86872,LSH7386,20,-22.992778,-43.598115,2023-07-26 05:00:29,0.0,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],22416.5,
47017,LRS2841,20,-22.920637,-43.681085,2023-07-26 05:00:22,25.7,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],47895.8,137.0
30509,KYM4574,13,-23.000779,-43.364762,2023-07-26 05:00:34,0.1,,volta,13 - ALVORADA X  MATO ALTO (EXPRESSO) [VOLTA],53043.9,88.0
12710,KRO9724,20,-22.97013,-43.63111,2023-07-26 05:00:18,60.3,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],38376.2,102.0
12720,KXD9430,20,-23.012205,-43.457883,2023-07-26 05:00:18,30.4,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],21762.7,75.0
12712,LSN8501,19,-22.920133,-43.60806,2023-07-26 05:00:32,0.0,,ida,19 - PINGO D'AGUA X SALVADOR ALLENDE (EXPRESSO) [IDA],31093.7,173.0
30521,LRC6594,25,-22.916119,-43.624821,2023-07-26 05:00:34,50.9,,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],34817.3,279.0
47010,KPZ8363,25,-23.019585,-43.486992,2023-07-26 05:00:33,37.4,,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],42583.7,66.0
90006,LRH6D12,20,-22.945971,-43.655817,2023-07-26 05:00:34,48.2,,volta,20 - SALVADOR ALLENDE X SANTA CRUZ (EXPRESSO) [VOLTA],29705.1,289.0
30531,LRC6592,19,-23.006599,-43.552521,2023-07-26 05:00:23,59.1,,volta,19 - SALVADOR ALLENDE X PINGO D'AGUA (EXPRESSO) [VOLTA],40596.8,285.0
30524,LRC6601,25,-22.99635,-43.594015,2023-07-26 04:58:00,57.5,,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],29222.3,136.0
